Номер эпохи, Веса нейрона, Выходной вектор, Ошибка 
0, w0: -0.1431 w1: -0.2314 w2: -0.2411 w3: -0.1720 w4: -0.2774 ,   0.4311   0.3895   0.3732   0.3339   0.3755   0.3361   0.3209   0.2846   0.3964   0.3561   0.3404   0.3029   0.3426   0.3049   0.2905   0.2564 , -0.533166
1, w0: -0.2128 w1: -0.3655 w2: -0.3798 w3: -0.2498 w4: -0.3920 ,   0.4032   0.3448   0.3161   0.2647   0.3192   0.2675   0.2428   0.1999   0.3533   0.2985   0.2720   0.2254   0.2748   0.2279   0.2059   0.1680 , -0.614860
2, w0: -0.2518 w1: -0.4608 w2: -0.4776 w3: -0.2920 w4: -0.4386 ,   0.3921   0.3251   0.2857   0.2300   0.2892   0.2330   0.2015   0.1586   0.3339   0.2724   0.2372   0.1885   0.2403   0.1910   0.1640   0.1278 , -0.648898
3, w0: -0.2761 w1: -0.5369 w2: -0.5552 w3: -0.3175 w4: -0.4523 ,   0.3888   0.3165   0.2675   0.2100   0.2711   0.2130   0.1759   0.1345   0.3256   0.2600   0.2169   0.1678   0.2201   0.1704   0.1394   0.1055 , -0.665325
4, w0: -0.2921 w1: -0.6019 w2: -0.6212 w3: -0.3341 w4: -0.4476 ,   0.3899   0.3139   0.2556   0.1973   0.2593   0.2004   0.1583   0.1187   0.3231   0.2547   0.2041   0.1551   0.2072   0.1577   0.1232   0.0914 , -0.673983
5, w0: -0.3033 w1: -0.6600 w2: -0.6800 w3: -0.3455 w4: -0.4316 ,   0.3937   0.3149   0.2476   0.1889   0.2513   0.1920   0.1453   0.1074   0.3241   0.2534   0.1955   0.1467   0.1986   0.1493   0.1116   0.0816 , -0.676600
6, w0: -0.3114 w1: -0.7133 w2: -0.7339 w3: -0.3536 w4: -0.4084 ,   0.3993   0.3182   0.2419   0.1830   0.2457   0.1861   0.1352   0.0989   0.3274   0.2548   0.1894   0.1410   0.1926   0.1435   0.1027   0.0744 , -0.675618
7, w0: -0.3176 w1: -0.7632 w2: -0.7843 w3: -0.3596 w4: -0.3804 ,   0.4060   0.3230   0.2378   0.1788   0.2417   0.1819   0.1270   0.0922   0.3323   0.2578   0.1851   0.1368   0.1883   0.1393   0.0957   0.0688 , -0.672338
8, w0: -0.3226 w1: -0.8106 w2: -0.8320 w3: -0.3644 w4: -0.3492 ,   0.4136   0.3288   0.2348   0.1757   0.2387   0.1788   0.1201   0.0866   0.3381   0.2619   0.1819   0.1338   0.1851   0.1362   0.0899   0.0642 , -0.667535
9, w0: -0.3269 w1: -0.8560 w2: -0.8777 w3: -0.3684 w4: -0.3159 ,   0.4217   0.3353   0.2326   0.1734   0.2365   0.1765   0.1141   0.0818   0.3446   0.2668   0.1794   0.1314   0.1826   0.1339   0.0850   0.0604 , -0.661709
10, w0: -0.3308 w1: -0.8999 w2: -0.9218 w3: -0.3719 w4: -0.2814 ,   0.4301   0.3423   0.2309   0.1715   0.2348   0.1746   0.1088   0.0776   0.3516   0.2721   0.1774   0.1294   0.1806   0.1319   0.0806   0.0570 , -0.655200
11, w0: -0.3345 w1: -0.9424 w2: -0.9645 w3: -0.3753 w4: -0.2461 ,   0.4388   0.3495   0.2296   0.1700   0.2335   0.1731   0.1040   0.0739   0.3588   0.2777   0.1758   0.1278   0.1790   0.1303   0.0767   0.0540 , -0.648252
